               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12171,            0.012829,            0.079294,           0.0016229,             0.14286,           0.0011968,          0.00015073,            0.098811,            0.010936,            0.065188,               2e-05,               2e-05,             0.09982
                   1,             0.11685,            0.014363,            0.079779,            0.002567,             0.21429,           0.0021995,          0.00046094,            0.096695,            0.011265,            0.064226,          4.9877e-05,          4.9877e-05,             0.09955
                   2,             0.11433,            0.015746,            0.079379,           0.0041441,            0.095238,           0.0038028,           0.0010006,            0.093927,            0.011689,            0.063124,          7.9213e-05,          7.9213e-05,            0.099279
                   3,             0.11374,            0.015081,            0.077807,           0.0051303,            0.095238,           0.0053282,           0.0017291,             0.09048,            0.012248,            0.062061,          0.00010758,          0.00010758,            0.099008
                   4,             0.10647,            0.016342,            0.076678,           0.0065276,            0.095238,           0.0074836,           0.0025574,            0.086242,            0.012859,             0.06094,          0.00013455,          0.00013455,            0.098735
                   5,               0.105,            0.017907,            0.076521,            0.012162,             0.16667,            0.008768,           0.0026595,            0.081349,            0.013564,            0.059803,          0.00015975,          0.00015975,             0.09846
                   6,             0.10098,            0.020295,            0.073796,            0.015432,             0.19048,           0.0098679,           0.0034234,             0.07669,            0.014241,            0.058899,          0.00018281,          0.00018281,            0.098183
                   7,            0.098448,            0.017547,              0.0715,            0.014789,             0.19048,            0.013278,            0.003826,            0.071126,            0.015002,            0.057946,          0.00020342,          0.00020342,            0.097903
                   8,            0.096799,            0.019801,             0.06888,            0.012572,             0.19048,            0.017379,           0.0047787,            0.066783,             0.01564,            0.056836,          0.00022129,          0.00022129,            0.097621
                   9,            0.090578,            0.023367,            0.069226,            0.013845,             0.72055,            0.020983,           0.0049632,            0.064087,            0.015905,            0.055339,          0.00023621,          0.00023621,            0.097336
                  10,            0.090573,             0.02237,            0.067216,            0.021779,             0.14286,            0.022389,           0.0059226,            0.060913,            0.016096,            0.053898,            0.000248,            0.000248,            0.097048
                  11,            0.083685,             0.02233,            0.066448,            0.027799,             0.16667,            0.030768,           0.0091512,            0.057539,             0.01629,            0.052784,          0.00025656,          0.00025656,            0.096757
                  12,            0.080065,            0.023517,            0.063961,            0.054925,            0.095238,            0.041519,            0.013424,            0.055825,            0.016424,            0.051825,          0.00026184,          0.00026184,            0.096462
                  13,            0.085203,            0.022546,            0.064887,            0.068108,             0.11905,             0.06344,            0.021198,            0.054162,            0.016558,            0.050642,          0.00026386,          0.00026386,            0.096164
                  14,            0.083342,            0.020661,            0.063975,            0.078993,             0.52757,             0.10002,             0.03215,            0.053632,            0.016493,            0.049324,           0.0002627,           0.0002627,            0.095863
                  15,            0.084247,            0.024277,            0.061033,            0.081333,              0.6015,             0.11394,            0.038905,            0.052865,            0.016501,            0.048554,           0.0002585,           0.0002585,            0.095559
                  16,            0.078775,            0.022785,            0.059951,             0.11926,             0.44862,             0.12981,             0.04516,            0.052387,            0.016459,            0.047732,          0.00025148,          0.00025148,            0.095251
                  17,            0.075449,            0.023495,            0.059006,              0.1075,             0.44612,             0.12072,            0.043811,            0.051755,            0.016515,            0.046845,          0.00024191,          0.00024191,            0.094942
                  18,            0.079745,            0.022884,            0.058106,              0.1041,             0.49875,             0.13517,            0.048873,            0.051477,            0.016474,            0.046216,          0.00023013,          0.00023013,             0.09463
                  19,             0.07656,            0.022355,            0.057094,             0.10496,             0.54887,             0.14628,            0.055096,            0.051331,            0.016435,             0.04552,          0.00021651,          0.00021651,            0.094317
                  20,            0.073689,            0.021299,            0.057148,             0.11023,              0.6416,             0.14197,             0.05144,            0.050436,            0.016482,             0.04466,           0.0002015,           0.0002015,            0.094002
                  21,            0.074999,             0.02608,            0.054671,             0.11109,             0.71554,              0.1757,            0.066415,            0.050018,            0.016483,            0.043971,          0.00018557,          0.00018557,            0.093686
                  22,            0.076662,            0.023099,            0.054845,             0.18235,             0.67043,             0.23646,            0.089549,            0.049692,            0.016377,              0.0434,          0.00016925,          0.00016925,            0.093369
                  23,            0.071565,            0.025262,            0.056023,              0.2778,             0.64662,             0.29082,             0.11167,            0.049372,            0.016299,            0.042799,          0.00015307,          0.00015307,            0.093053
                  24,            0.075849,            0.026744,            0.054608,             0.23781,             0.69674,             0.32681,             0.12293,            0.048962,            0.016302,            0.042391,           0.0001376,           0.0001376,            0.092738
                  25,             0.07763,            0.022137,             0.05316,             0.31811,              0.6203,              0.3752,             0.15395,            0.048364,            0.016274,            0.042021,          0.00012342,          0.00012342,            0.092423
                  26,            0.072596,            0.025351,            0.052323,             0.28938,             0.63539,             0.37015,             0.14685,            0.048123,             0.01622,            0.041558,          0.00011112,          0.00011112,            0.092111
                  27,            0.072492,            0.023904,            0.053226,             0.28219,             0.69424,             0.38978,             0.16204,             0.04744,            0.016281,            0.041054,          0.00010128,          0.00010128,            0.091801
                  28,            0.073789,            0.028889,            0.052984,             0.30375,              0.5131,             0.41651,             0.15829,            0.046666,            0.016323,            0.040667,          9.4457e-05,          9.4457e-05,            0.091494
                  29,            0.073309,            0.025006,            0.051965,             0.28046,             0.71053,             0.48335,             0.18712,            0.045659,             0.01638,            0.040099,          9.1194e-05,          9.1194e-05,            0.091191
